,name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,130,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:12,000980
0,上证指数,2827.0823,2831.1837,2807.2405,2837.5092,2804.4929,0,0,76885672,93214211083,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:06,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,130,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:12,000980
0,上证指数,2827.0823,2831.1837,2807.2675,2837.5092,2804.4929,0,0,76906962,93242248933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:11,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,130,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:12,000980
0,上证指数,2827.0823,2831.1837,2807.2675,2837.5092,2804.4929,0,0,76906962,93242248933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:11,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,130,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:12,000980
0,上证指数,2827.0823,2831.1837,2807.2675,2837.5092,2804.4929,0,0,76906962,93242248933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:11,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,130,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:12,000980
0,上证指数,2827.0823,2831.1837,2807.2675,2837.5092,2804.4929,0,0,76906962,93242248933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:11,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,130,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:12,000980
0,上证指数,2827.0823,2831.1837,2807.2675,2837.5092,2804.4929,0,0,76906962,93242248933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:11,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,130,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:12,000980
0,上证指数,2827.0823,2831.1837,2807.2675,2837.5092,2804.4929,0,0,76906962,93242248933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:11,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:21,000980
0,上证指数,2827.0823,2831.1837,2807.2419,2837.5092,2804.4929,0,0,76933278,93276571131,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2018-07-16,13:35:16,000001
1,众泰汽车,7.170,7.100,7.110,7.200,7.030,7.110,7.120,3788612,26894214.240,173,7.110,307,7.100,236,7.090,528,7.080,131,7.070,544,7.120,2873,7.130,116,7.140,571,7.150,301,7.160,2018-07-16,13:35:21,000980
